	B_feld	Vxy	Rxy	Vxx	Rxx	Fuellfaktor	electron_density
0	1.067	0.0144123	1441.23	0.00154236	154.236	17.910262384294256	4620837921301552.0
1	1.202	0.0162154	1621.54	0.0014361	143.61	15.91869917246347	4626647488999146.0
2	1.373	0.0185108	1851.08	0.00127923	127.923	13.944728189012043	4629509275578426.0
3	1.603	0.021573	2157.3	0.00105844	105.844	11.965330485382843	4637806113563649.0
4	1.925	0.0258608	2586.08	0.000764217	76.4217	9.981441972451128	4645991256003399.0
5	2.39	0.0322946	3229.46	0.000412501	41.2501	7.992917532998214	4619102515857446.0
6	3.213	0.0430258	4302.58	0.000117726	11.7726	5.999378850856093	4660917129132498.0
