	B_feld	Vxy	Rxy	Vxx	Rxx	Fuellfaktor	electron_density
0	1.069	0.0143748	1437.48	0.000876555	87.6555	17.956985457965615	4641576408415562.0
1	1.204	0.0161787	1617.87	0.000816806	81.6806	15.954809382778846	4644858355469501.0
2	1.379	0.0185225	1852.25	0.000731747	73.1747	13.9359198035451	4646803123008780.0
3	1.608	0.0215623	2156.23	0.00061262	61.262	11.971268118946687	4654580761059943.0
4	1.93	0.0258512	2585.12	0.000451833	45.1833	9.985148641500748	4659788564149706.0
5	2.414	0.032289200000000004	3228.92	0.000253699	25.3699	7.99425425718705	4666267058298807.0
6	3.222	0.0430167	4301.67	7.43185e-05	7.43185	6.0006479939457025	4674961678509940.0
