	B_feld	Vxy	Rxy	Vxx	Rxx	Fuellfaktor	electron_density
0	1.063	0.0143488	1434.88	0.00129172	129.172	17.989523483578008	4623887851816112.0
1	1.194	0.0161225	1612.25	0.00120749	120.749	16.01042484485434	4622336421959751.0
2	1.366	0.0184424	1844.24	0.00108486	108.486	13.996447022142679	4622989126120532.0
3	1.595	0.0215076	2150.76	0.00091036	91.036	12.001714489815884	4628692674116961.0
4	1.907	0.0258058	2580.58	0.000672361	67.2361	10.002715457810421	4612357649466156.0
5	2.397	0.0322537	3225.37	0.000381253	38.1253	8.00305312448383	4638505776001565.0
6	3.199	0.0430073	4300.73	0.000119674	11.9674	6.001959540849208	4642604323847473.0
