	rezi_B_left	rezi_B_right	rezi_B_delta	Rxx	electron_density
0	0.8305647840531561	0.9354536950420954	0.10488891098893927	87.6555	4610571774474523.0
1	0.7251631617113851	0.8305647840531561	0.10540162234177108	81.6806	4588144297180540.0
2	0.6218905472636815	0.7251631617113851	0.10327261444770353	73.1747	4682730799904987.0
3	0.5181347150259068	0.6218905472636815	0.10375583223777474	61.262	4660922109445611.0
4	0.4142502071251035	0.5181347150259068	0.10388450790080328	45.1833	4655148897877531.0
5	0.31036623215394166	0.4142502071251035	0.10388397497116186	25.3699	4655172779008702.0
