	rezi_B_left	rezi_B_right	rezi_B_delta	Rxx	electron_density
0	0.831946755407654	0.9372071227741331	0.10526036736647915	154.236	4594301393393948.0
1	0.7283321194464676	0.831946755407654	0.10361463596118636	143.61	4667273575541276.0
2	0.6238303181534622	0.7283321194464676	0.10450180129300535	127.923	4627650877567628.0
3	0.5194805194805194	0.6238303181534622	0.1043497986729428	105.844	4634391811111061.0
4	0.41841004184100417	0.5194805194805194	0.10107047763951527	76.4217	4784758752064144.0
5	0.3112356053532524	0.41841004184100417	0.10717443648775177	41.2501	4512250013241181.0
