	Measurement	Rxx_B_0	electron_density_mean	standart_deviation	electron_mobility
0	P07_0611_0708_0109	106.74286666666666	4642115109648649.0	3.536e+13	15.745079416871757
1	P07_0611_0709_0109	182.622	4636771070486539.0	8.97e+13	18.42726450115979
2	P07_1115_1213_2012	77.84257647058824	4630285530764871.0	1.846e+13	21.64585016370506
3	P07_1115_2018_1913	160.499	4620321154203921.0	7.29e+13	21.041908301525282
